epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,146.013,0.6879,6.83003,0.01134,0.33816,0.29316,0.28079,0.22893,0.65228,3.00245,0.01683,0.000149139,0.000149139,0.000149139
2,233.284,0.75292,3.02719,0.0127,0.5556,0.50102,0.5123,0.40573,0.73974,1.72513,0.01911,0.000297828,0.000297828,0.000297828
3,325.983,0.82514,1.91791,0.0142,0.59289,0.48124,0.53834,0.40902,0.92184,1.62721,0.02519,0.000443513,0.000443513,0.000443513
4,417.388,0.86068,1.60042,0.01492,0.65548,0.64032,0.67628,0.51501,0.84917,1.33246,0.02196,0.000441486,0.000441486,0.000441486
5,510.214,0.86917,1.37371,0.01497,0.70193,0.61191,0.68208,0.51117,0.88713,1.35226,0.02332,0.000436982,0.000436982,0.000436982
6,603.075,0.83431,1.25519,0.0145,0.66922,0.62491,0.67964,0.53217,0.83725,1.26749,0.02272,0.000432478,0.000432478,0.000432478
7,695.415,0.83148,1.16896,0.01458,0.69451,0.62657,0.69239,0.53215,0.82814,1.31956,0.02205,0.000427973,0.000427973,0.000427973
8,788.161,0.80055,1.07859,0.01349,0.76936,0.68823,0.78495,0.6171,0.80705,1.06735,0.02133,0.000423468,0.000423468,0.000423468
9,878.828,0.80266,1.03833,0.01367,0.82762,0.75162,0.8272,0.65087,0.76266,0.86778,0.01966,0.000418964,0.000418964,0.000418964
10,971.975,0.79205,0.98403,0.01369,0.82023,0.74128,0.83697,0.67966,0.68439,0.84244,0.01748,0.00041446,0.00041446,0.00041446
11,1064.32,0.7802,0.93143,0.01317,0.77886,0.77733,0.81825,0.66653,0.70501,0.87387,0.01785,0.000409955,0.000409955,0.000409955
12,1157.61,0.77181,0.88932,0.01307,0.81625,0.74077,0.82992,0.6736,0.71247,0.90103,0.01802,0.000405451,0.000405451,0.000405451
13,1250.31,0.77719,0.86018,0.01312,0.8043,0.70798,0.82015,0.66253,0.7352,0.93136,0.01857,0.000400946,0.000400946,0.000400946
14,1343.53,0.74993,0.83313,0.01256,0.81219,0.79635,0.86798,0.71294,0.69061,0.73729,0.01747,0.000396441,0.000396441,0.000396441
15,1436.54,0.75993,0.82938,0.01291,0.75134,0.75346,0.82875,0.68167,0.68902,0.92553,0.01734,0.000391937,0.000391937,0.000391937
16,1528.69,0.73161,0.80707,0.01232,0.8449,0.75638,0.8541,0.70031,0.7098,0.76954,0.01796,0.000387433,0.000387433,0.000387433
17,1621.52,0.72456,0.77258,0.01231,0.84365,0.72948,0.83021,0.67375,0.73898,0.86904,0.01927,0.000382928,0.000382928,0.000382928
18,1715.28,0.71867,0.7427,0.01203,0.82672,0.78794,0.85937,0.70519,0.67893,0.8014,0.01732,0.000378423,0.000378423,0.000378423
19,1807.32,0.71539,0.72833,0.01226,0.85992,0.79531,0.88479,0.73203,0.67455,0.68661,0.01672,0.000373919,0.000373919,0.000373919
20,1899.79,0.71218,0.72022,0.01191,0.85258,0.77846,0.86381,0.7222,0.6383,0.78069,0.01566,0.000369415,0.000369415,0.000369415
21,1995.17,0.70615,0.71546,0.0118,0.83265,0.78441,0.84997,0.695,0.68805,0.82013,0.0174,0.00036491,0.00036491,0.00036491
22,2087.22,0.70152,0.695,0.01169,0.87334,0.76002,0.86337,0.7159,0.65355,0.77014,0.01622,0.000360406,0.000360406,0.000360406
23,2179.48,0.68623,0.66309,0.01145,0.85587,0.79049,0.86933,0.72456,0.64478,0.76151,0.01599,0.000355901,0.000355901,0.000355901
24,2272.92,0.68093,0.6559,0.01102,0.8445,0.80654,0.86652,0.71492,0.66499,0.74943,0.0168,0.000351396,0.000351396,0.000351396
25,2364.37,0.67483,0.63687,0.01118,0.87014,0.81875,0.88139,0.7392,0.64956,0.68668,0.01617,0.000346892,0.000346892,0.000346892
26,2457.86,0.66979,0.62036,0.01111,0.86102,0.79249,0.86904,0.73269,0.64918,0.73227,0.01617,0.000342387,0.000342387,0.000342387
27,2550.72,0.67286,0.62452,0.01125,0.87745,0.79175,0.88204,0.74626,0.63743,0.66383,0.01568,0.000337883,0.000337883,0.000337883
28,2644.77,0.66383,0.61354,0.01106,0.87117,0.79491,0.87955,0.74156,0.63113,0.72873,0.01558,0.000333379,0.000333379,0.000333379
29,2737.27,0.6493,0.60116,0.01042,0.86221,0.8228,0.88463,0.73899,0.6499,0.68727,0.0164,0.000328874,0.000328874,0.000328874
30,2830.91,0.64208,0.55965,0.01051,0.88432,0.79904,0.88675,0.74541,0.62751,0.68813,0.01536,0.000324369,0.000324369,0.000324369
31,2925.36,0.64716,0.56464,0.0106,0.90676,0.78699,0.89011,0.74858,0.63974,0.64183,0.01605,0.000319865,0.000319865,0.000319865
32,3017.17,0.63386,0.56498,0.01042,0.90173,0.82479,0.89849,0.76818,0.62108,0.6327,0.01512,0.00031536,0.00031536,0.00031536
33,3111.23,0.62304,0.53579,0.01047,0.86081,0.80318,0.87442,0.74005,0.60763,0.7282,0.01497,0.000310856,0.000310856,0.000310856
34,3202.77,0.62928,0.55198,0.01047,0.90086,0.81596,0.88822,0.75306,0.59827,0.67496,0.01491,0.000306351,0.000306351,0.000306351
35,3296.72,0.62575,0.55037,0.01033,0.9044,0.83241,0.90002,0.76479,0.60088,0.63394,0.0149,0.000301847,0.000301847,0.000301847
36,3389.56,0.62364,0.53965,0.01006,0.883,0.83083,0.8911,0.76064,0.60654,0.62599,0.01485,0.000297342,0.000297342,0.000297342
37,3481.69,0.61847,0.5276,0.01023,0.89978,0.79834,0.88715,0.75718,0.60761,0.6823,0.01498,0.000292838,0.000292838,0.000292838
38,3572.77,0.60162,0.49855,0.00978,0.90111,0.83908,0.90134,0.77503,0.57828,0.60591,0.01428,0.000288333,0.000288333,0.000288333
39,3665.62,0.59842,0.50394,0.00967,0.89372,0.82333,0.90007,0.76796,0.60226,0.60923,0.01464,0.000283829,0.000283829,0.000283829
40,3757.72,0.59366,0.50077,0.00975,0.88152,0.83187,0.8973,0.76514,0.59461,0.64241,0.01473,0.000279325,0.000279325,0.000279325
41,3849.38,0.59548,0.50329,0.00982,0.89583,0.83957,0.9053,0.76906,0.60479,0.60976,0.01502,0.00027482,0.00027482,0.00027482
42,3940.28,0.5881,0.49283,0.00951,0.90617,0.83977,0.90226,0.78142,0.55861,0.60709,0.01337,0.000270316,0.000270316,0.000270316
43,4030,0.58091,0.48546,0.00934,0.87941,0.86846,0.91023,0.78384,0.56528,0.59475,0.01377,0.000265811,0.000265811,0.000265811
44,4121.99,0.58042,0.4786,0.00945,0.90072,0.83877,0.91049,0.78523,0.57394,0.58234,0.01393,0.000261307,0.000261307,0.000261307
45,4215.98,0.56712,0.46235,0.00907,0.91556,0.82149,0.90995,0.79235,0.56229,0.57355,0.01337,0.000256802,0.000256802,0.000256802
